 xx就要多读书-,还掉色  我的滤镜撑不下去了  不！搞！丑！的！//@开光佛珠_ :成功教育大家一胖毁所有
显富l5,总有撑不下去的时候但是我不想回头 ?
现实浪漫主义,她快点考完吧，我就可以放肆找她哭了，我真的撑不下去了 ?
现实浪漫主义,她快点考完吧，我就可以放肆找她哭了，我真的撑不下去了 ?
现在就退伍,#嘉羿粉换头像大赛# ? #嘉羿巴黎时装周# ? #嘉羿0714生日快乐# ? #嘉羿是最可爱的#? #嘉羿 WOOYOUNGMI# ? #嘉羿 舞台掌控者#?  #嘉羿是最可爱的小熊软糖# ? #嘉羿巴黎男装周# ? #嘉羿的反转魅力# ?
现在就退伍,#嘉羿粉换头像大赛# ? #嘉羿巴黎时装周# ? #嘉羿0714生日快乐# ? #嘉羿是最可爱的#? #嘉羿 WOOYOUNGMI# ? #嘉羿 舞台掌控者#?  #嘉羿是最可爱的小熊软糖# ? #嘉羿巴黎男装周# ? #嘉羿的反转魅力# ?
想变幸运的女孩kk,坤音怎么一点危机意识都没有啊，青营一播走一批粉丝，cql一播肯定还要走，我身边都有鲜活的例子啊。拜托啦能不能好好营业啊，新粉吸不了，老粉还走一大堆。还能撑下去吗，看不到未来是最让我失望的一点唉，我也不知道我还能坚持多久 ?
想变幸运的女孩kk,坤音怎么一点危机意识都没有啊，青营一播走一批粉丝，cql一播肯定还要走，我身边都有鲜活的例子啊。拜托啦能不能好好营业啊，新粉吸不了，老粉还走一大堆。还能撑下去吗，看不到未来是最让我失望的一点唉，我也不知道我还能坚持多久 ?
想不到明天的明天,我每次想吃东西的时候肚子都很饱甚至很撑，而真的饿了的时候反倒什么都吃不下去了 ?
想不到明天的明天,我每次想吃东西的时候肚子都很饱甚至很撑，而真的饿了的时候反倒什么都吃不下去了 ?
想曾经才清醒,2019年下半年正式开始，把19年上半年所有事情都忘掉，找回自我，找回从前的快乐，我还会是那个我。 ?
想吃樱桃的兔子,快撑不下去了，能不能不要再被骗了 ?
想飞向蓝天的鸽子cq,回首一望，大学里都是你。我记得在军训的晚上你披着头发和我说心里话记得大一冬天去晴天喝奶茶 冷成狗一起回寝室记得大二和你回眉山见家长记得大三的夏天每晚都来你的床上记得大四和你一起的难熬的那段日子不论怎么样，我都是爱你的 生日快乐?  ?  @Imyuan9 ?
想换的名儿都被占了,谈恋爱的意义，或许不只是排遣寂寞、享受浪漫。单纯。更重要的，是它可以为你搭建一个巢。当你淋了雨飞回来，可以卸下盔甲，歇歇脚； 当你撑不下去的时候，可以崩溃可以大哭；哪怕生活苛待你，你也能因为它的存在被治愈。因为那个特殊的人，想要充满希望地活下去…… ?
想取个名字叫可乐,我撑不下去了…… ?
想取个名字叫可乐,我撑不下去了…… ?
想要暴富的安時兒,希望下半年的愿望都能如愿以偿//@夏目家的小诗哥:家人健康平安 自己顺顺利利//@苍南派:快乐工作快乐生活//@雨玲玲zjl:愿自己的努力不负自己的期望//@ali_thin:求你减肥//@Tiger公子:别再生病了
向日葵园里的猫看着的彼岸花儿,看到吴昕潘玮柏香港的热搜，以为无尾熊去香港度假了呢！我就说连谢娜孕后首亮相自己设计的品牌活动了，身为快乐家族的吴昕怎么着也得支持吧！但好像没有看到吴昕和嘉爷呢Lwill_orfila的秒拍视频 ?
象巧欣,? 猫咪带来的快乐?  ?
枭不拉屎大王,致残打击  失去信心了  撑不下去了 ?
枭不拉屎大王,致残打击  失去信心了  撑不下去了 ?
逍遥小猫酱,昨晚看到这篇文章，今天单位团购的蛋糕店就撤店了，南京最热闹的中心，俗称暴利行业的蛋糕店也做不下去了。想起团购时问及店长上一个蛋糕店为啥撤走她说生意难做，我说那你们估计撑多久，她说十年没问题，结果两年就又跑了。原因依旧是生意难做啊！房租付不起了！ ?
逍遥小猫酱,昨晚看到这篇文章，今天单位团购的蛋糕店就撤店了，南京最热闹的中心，俗称暴利行业的蛋糕店也做不下去了。想起团购时问及店长上一个蛋糕店为啥撤走她说生意难做，我说那你们估计撑多久，她说十年没问题，结果两年就又跑了。原因依旧是生意难做啊！房租付不起了！ ?
小__小耳朵诸出世,#宣酒6上市热销一周年#  有生之日，快乐每天！@洪仦辰@想你都是梦@硪們铱植狠哖請
小_小艳儿,朱一龙我快撑不下去了，需要看会龙哥补充点能量@朱一龙 @香菜味的小笼包i 今天和拢龙居一起努力了嘛 ?
小阿姣,生日快乐纳兹咩
小不点和锤锤,去年6月就一直不顺一直心中有结一直想要过得快乐一点以为18年底我就可以可是并没有后来劝自己说到19年中吧现在下半年的第一天没有很好的改善反而是越活越难甚至有些话连个聊聊的人都没有我没有朋友我只能靠我自己也不知道什么时候我自己也撑不下去了到那个时候我也不知道会是啥情况抑郁的牢笼在等着我 ?
小不点和锤锤,去年6月就一直不顺一直心中有结一直想要过得快乐一点以为18年底我就可以可是并没有后来劝自己说到19年中吧现在下半年的第一天没有很好的改善反而是越活越难甚至有些话连个聊聊的人都没有我没有朋友我只能靠我自己也不知道什么时候我自己也撑不下去了到那个时候我也不知道会是啥情况抑郁的牢笼在等着我 ?
小琛超乖,回复@R1SE-姚琛:大家都要好好加油噢！加油加油！//@R1SE-姚琛:生日快乐? ? ?
小程的小小宇宙,七月拜托对我和我的宝贝@TFBOYS-易烊千玺 好一点//@张桢玺:7月加油? //@梨寒:六月真的是快乐和伤痛并行，我们失去小北迎来李必，在街舞的乱剪里秃头，在十二的争气里笑开花，希望七月请对崽崽好一些。晚安。
小丑还有只汪,做自己想做的事阿！一定记得！//@小羊爱吃酱肘子:想要我爱的朋友们都好好的！//@回忆专用小马甲:想要快乐? ? //@花泽美美:好好赚钱！别想有的没的? //@M大王叫我来巡山:想要的都拥有，得不到的都释怀//@苍南派:快乐工作快乐生活//@ali_thin:求你减肥//@Tiger公子:别再生病了
小呆鱼儿爱吃糖LittleSun,//@叶幸运和叶小宝的故事:其实，换个乐器没有那么多事，接下来还有那么多集，想想片头片尾曲场景，撑下去。现在说不看的，到时又真香。总之，他俩? 锁住，毕竟其他演员也是拍得很辛苦。
小呆鱼儿爱吃糖LittleSun,//@叶幸运和叶小宝的故事:其实，换个乐器没有那么多事，接下来还有那么多集，想想片头片尾曲场景，撑下去。现在说不看的，到时又真香。总之，他俩? 锁住，毕竟其他演员也是拍得很辛苦。
小呆鱼儿爱吃糖LittleSun,//@叶幸运和叶小宝的故事:其实，换个乐器没有那么多事，接下来还有那么多集，想想片头片尾曲场景，撑下去。现在说不看的，到时又真香。总之，他俩? 锁住，毕竟其他演员也是拍得很辛苦。
小禾小小禾,#陈情令#这个孟子义太隔应人了 我撑不下去 直接关了 陈二狗 ?
小黑呀·,每个月的低谷期来了 莫名其妙失落 莫名其妙想哭 拿着手机不知道做些什么 不知道自己每天在坚持什么 也没什么信心到底还能不能撑下去 跪球了 赶紧过去吧 或者周五快点到来吧 ?
小嚯嘿,15.22 他来啦！这么考完试的诶16.22 打了个好大的哈欠侧着趴下去了哈哈哈哈哈好可爱啊16.38 撑不住了正着趴下去了 脑袋在胳膊上动来动去调整姿势 毛绒绒的好可爱嗷猜猜要睡到几点(心理学研究方法好难背啊 这知识不进脑子啊((才不是因为我走神观察他了 真的背不进去昂 ?
小嚯嘿,15.22 他来啦！这么考完试的诶16.22 打了个好大的哈欠侧着趴下去了哈哈哈哈哈好可爱啊16.38 撑不住了正着趴下去了 脑袋在胳膊上动来动去调整姿势 毛绒绒的好可爱嗷猜猜要睡到几点(心理学研究方法好难背啊 这知识不进脑子啊((才不是因为我走神观察他了 真的背不进去昂 ?
小骄傲的专属FD,一直感觉得不到任何的安全感，我真的累了，好累，我必须要打起精神来面对现实，面对每一天，如果有一天，我真的有撑不下去的一天，我甚至不知道结果是什么？自己有时候冥想，我到底为什么活下去？为什么要来到这个世界上，我的使命是什么？直到有一天累了，我就要永远的休息了。我的家人，朋友…… ?
小骄傲的专属FD,一直感觉得不到任何的安全感，我真的累了，好累，我必须要打起精神来面对现实，面对每一天，如果有一天，我真的有撑不下去的一天，我甚至不知道结果是什么？自己有时候冥想，我到底为什么活下去？为什么要来到这个世界上，我的使命是什么？直到有一天累了，我就要永远的休息了。我的家人，朋友…… ?
小金比白,快乐时你不用分心想起我难过时请一定记得联络我让我分享你的苦带走你的忧愁我就拥有你一些些什么 ?
小津爱莉叶,快乐睡觉！ ?
小晶晶要认真了,万事胜意//@回忆专用小马甲:想要快乐? ? //@花泽美美:好好赚钱！别想有的没的? //@M大王叫我来巡山:想要的都拥有，得不到的都释怀//@苍南派:快乐工作快乐生活//@雨玲玲zjl:愿自己的努力不负自己的期望//@ali_thin:求你减肥//@Tiger公子:别再生病了
小静子欧耶,易烊千玺 七月请对我还有我的宝贝要好点哦，希望他每天都要开开心心快快乐乐健健康康平平安安顺顺利利的长大 ?
小酒酒哇,快要撑不住情绪了，那样的不安那样的低落那样不舍，可是却还要继续走下去 ?
小卷顿,！！！！！！！安安生日快乐?   和具大人和新西游和姜食堂都要长长久久哦
小绵龙的麻麻YanRAD,初恋追星，一直没想过的初恋啊也不知道怎么进来的，实际上也错过了大家苦撑的时期，可就是越了解越喜欢、越回顾越坚定，有什么办法呢？只能庆幸，然后一起走下去了
小绵龙的麻麻YanRAD,初恋追星，一直没想过的初恋啊也不知道怎么进来的，实际上也错过了大家苦撑的时期，可就是越了解越喜欢、越回顾越坚定，有什么办法呢？只能庆幸，然后一起走下去了
小柠理想型,如果真的撑不下去了，就，算了吧，嗯，就这样。 ?
小柠理想型,如果真的撑不下去了，就，算了吧，嗯，就这样。 ?
小怒怒爱吃锅包肉,每天晚上都不失眠//@回忆专用小马甲:想要快乐? ? //@花泽美美:好好赚钱！别想有的没的? //@M大王叫我来巡山:想要的都拥有，得不到的都释怀//@苍南派:快乐工作快乐生活//@雨玲玲zjl:愿自己的努力不负自己的期望//@ali_thin:求你减肥//@Tiger公子:别再生病了
小胖猫的少女心,人这一生，可以快乐就不要难过！ 2儋州 ?
小秋天和阿白,我太快乐了
小狮子的幼稚园_,七月的第一天我已经陪我的小孩五个月啦！我看着他慢慢走过来的我爱他 无理由偏爱他只给他花钱 只想他快乐我知道这些话有些空洞但就是想把全世界最好的给他天上星星都给他摘的那种哈哈哈哈哈. ?
小市民大黄儿,七月快乐哦 2成都 ?
小文的一生,7月1，不到六点起床的一天。早上起来收拾好，下去站了会，上来拿碗，吃完饭又上来收拾屋子，觉得有很多不必要做的事。但是还好早饭比较合胃口，有鸡蛋咸菜玉米。一上午一直在站 走 跑，干以前干过的事。午饭本来也想着吃不下，结果一吃开了好像吃的是最多的一次，以至于躺着有点撑还，以前的量刚合适。 ?  展开全文c
小文的一生,7月1，不到六点起床的一天。早上起来收拾好，下去站了会，上来拿碗，吃完饭又上来收拾屋子，觉得有很多不必要做的事。但是还好早饭比较合胃口，有鸡蛋咸菜玉米。一上午一直在站 走 跑，干以前干过的事。午饭本来也想着吃不下，结果一吃开了好像吃的是最多的一次，以至于躺着有点撑还，以前的量刚合适。 ?  展开全文c
小小的小蔓蔓的蔓蔓,我承认我过得一点也不好很多时候真的都要熬不下去 快要崩溃了我不知道哪儿有这么多压力改变的失去的都太多了好多事情真的接受不了 但我也无力抗拒只能哭完了再爬起来老老实实继续走下去这辈子从来就没坚强过大小坎都是死撑过去 ???孩子 长点心吧 好吗 ?
小小的小蔓蔓的蔓蔓,我承认我过得一点也不好很多时候真的都要熬不下去 快要崩溃了我不知道哪儿有这么多压力改变的失去的都太多了好多事情真的接受不了 但我也无力抗拒只能哭完了再爬起来老老实实继续走下去这辈子从来就没坚强过大小坎都是死撑过去 ???孩子 长点心吧 好吗 ?
小鑫的河马,#优路14年　你最珍贵##优路14年 你最珍贵# 生日快乐～[加油啊]
小薛呀Keke,下半年要多一点快乐 2常州 ?
小丫头和蓝星星,我觉得我快撑不下去了，要死了…… ?
小丫头和蓝星星,我觉得我快撑不下去了，要死了…… ?
小指头小指头,好累感觉要撑不下去了 ?
小周同学-kiki,17岁快乐 ?  2昆明 ?
小猪猪猪猪猪猪猪猪猪猪啊,撑不下去也要加油啊未来一定一定一定会有一个能带我光亮的他出现的 ?
晓TTT彤,但我今天，到现在还不睡，就感觉胸闷心慌了，大概是后遗症叭，就之前那么精神，都是强撑罢了？？？？感觉自己干不动了，好多好多次，然后还想继续干下去，如果结果真的是这样，那我瑞思拜自己，完全瑞思拜，冷静一下吧，再干没准猝死了。 ?
晓玲200509,六月的最后一天，太阳很烈，空气中飘过一阵一阵夹杂着汗臭味的热风，晓月傻傻的站在学校的操场上，太阳像个火炉似的炙烤着她，从她的脸上滚落下来的不知道是汗水还是泪水，神情恍惚的她似乎快撑不下去了，但倔强的她不知道在坚持什么…………… 2广州 ?
晓玲200509,六月的最后一天，太阳很烈，空气中飘过一阵一阵夹杂着汗臭味的热风，晓月傻傻的站在学校的操场上，太阳像个火炉似的炙烤着她，从她的脸上滚落下来的不知道是汗水还是泪水，神情恍惚的她似乎快撑不下去了，但倔强的她不知道在坚持什么…………… 2广州 ?
筱零酱,齐齐生日快乐！@R1SE-张颜齐
心如止水得过且过,婆婆是世界上最听不进去道理的生物，特别是太自我的那种。好累啊，没人理解，心更累，好怕撑不下去。 ?
星星县的阿狸,休了一周再上班，心情更加沉重浑浑噩噩地在这个点数起床刷牙打理看着乱糟糟的房间想着即将要面对的人和事觉得撑不下去了这份工作曾经带给我的期待化为逃避 ?
星星县的阿狸,休了一周再上班，心情更加沉重浑浑噩噩地在这个点数起床刷牙打理看着乱糟糟的房间想着即将要面对的人和事觉得撑不下去了这份工作曾经带给我的期待化为逃避 ?
邢佳栋今天营业了吗,生日快乐！要记得营业啊～
幸福的宋小爽,毕业快乐?  2上海·上海大学 ?
幸福小四毛,我的弟弟实在太懂事了，自己和同学去上海找工作，碰到了中介，被骗了400块钱。钱交了以为自己知道工作了没想到一进宿舍傻眼了，墙黑的吓人，地也在返潮，10几个人在那里打着地铺，他吓着了，只能出来重新找工作，跑尽了上海无数个区，最后选择去芜湖。他实在没钱了撑不下去，叫我不要和爸爸妈妈说，还 ?  展开全文c
幸福小四毛,我的弟弟实在太懂事了，自己和同学去上海找工作，碰到了中介，被骗了400块钱。钱交了以为自己知道工作了没想到一进宿舍傻眼了，墙黑的吓人，地也在返潮，10几个人在那里打着地铺，他吓着了，只能出来重新找工作，跑尽了上海无数个区，最后选择去芜湖。他实在没钱了撑不下去，叫我不要和爸爸妈妈说，还 ?  展开全文c
须尽酒,撑不下去就来看看评论 大家都很爱你 ?
俆_dan,我觉得我就像集市上的鱼 水分蒸发得差不多了 我时常觉得自己就要撑不下去 我在前途未卜的痛苦里周而复始 你不要我死 又偏不肯温柔豢养我 ???
俆_dan,我觉得我就像集市上的鱼 水分蒸发得差不多了 我时常觉得自己就要撑不下去 我在前途未卜的痛苦里周而复始 你不要我死 又偏不肯温柔豢养我 ???
徐家迷妹子-,如果是之前我肯定穿着不合脚的鞋子苦撑下去可是我今天早上毅然决然的回家换了双鞋七月啊苦尽甜来 ?
徐家迷妹子-,如果是之前我肯定穿着不合脚的鞋子苦撑下去可是我今天早上毅然决然的回家换了双鞋七月啊苦尽甜来 ?
轩厘子,实践周完美的告一段落可以回学校辽七月要充实快乐的度过喔 ?
萱草杂声,当在海拔4500米以上，徒步八公里山路的时候，身体不听使唤，头痛欲裂，康巴汉子西绒跳下山坡掰了一根树枝说，给你当拐杖，要是真不行了，我背你，我能背得动三百斤...于是，我想即使我倒下了也没事，有人会背我，但在我真正快撑不下去的时候，我却又想，怎能就这样趴下，我可得撑到山下啊，让人背下山 ?  展开全文c
萱草杂声,当在海拔4500米以上，徒步八公里山路的时候，身体不听使唤，头痛欲裂，康巴汉子西绒跳下山坡掰了一根树枝说，给你当拐杖，要是真不行了，我背你，我能背得动三百斤...于是，我想即使我倒下了也没事，有人会背我，但在我真正快撑不下去的时候，我却又想，怎能就这样趴下，我可得撑到山下啊，让人背下山 ?  展开全文c
-萱的王-,想念p3的好皮肤 很少长痘的我用我满脸的闭口和痘痘来和图书馆说再见 朝九晚十坐了一个星期 屁股都快坐平了 多给我一天考试都撑不下去 假期快乐 ?
学森201509,对于东叔的成名作总有种读不下去的感觉反而不著名的我倒读的津津有味撑下去，也许，很好看 ?
学森201509,对于东叔的成名作总有种读不下去的感觉反而不著名的我倒读的津津有味撑下去，也许，很好看 ?
雪礁_之各,七月快乐 朱一龙！@朱一龙 @朱一龙工作室 等一个明天醒来的七月问候 ?
鸭梨大dd,晚上去了九田家吃烤肉撑到不行回家后洗漱完毕躺在床上饿了下去吃面谁不去谁小狗? 嗯我去了 ?
鸭梨大dd,晚上去了九田家吃烤肉撑到不行回家后洗漱完毕躺在床上饿了下去吃面谁不去谁小狗? 嗯我去了 ?
鸭鸭鸭血大魔王,我撑不下去了 药吃了心慌难受他也不愿意陪我聊聊天再睡 我可能真的没人爱了吧 ?
鸭鸭鸭血大魔王,我撑不下去了 药吃了心慌难受他也不愿意陪我聊聊天再睡 我可能真的没人爱了吧 ?
呀呼嘿哈哈啦哦,永远不要相信什么懒洋洋的自由，向往的自由是通过勤奋和努力实现的更广阔的人生。#下半年撑不下去的时候记得看看这句话# ?
呀呼嘿哈哈啦哦,永远不要相信什么懒洋洋的自由，向往的自由是通过勤奋和努力实现的更广阔的人生。#下半年撑不下去的时候记得看看这句话# ?
盐白茶梅子酒,日子有时候硬撑也有撑不下去的时候。 ?
盐不甜芝士,我就知道我撑不下去我就知道为什么不能再多撑一点背完今天早上就结束了每次都是这样，在终点的旁边死掉一整个学期的努力全都变成水中月踩一脚就碎个彻底 ?
盐不甜芝士,我就知道我撑不下去我就知道为什么不能再多撑一点背完今天早上就结束了每次都是这样，在终点的旁边死掉一整个学期的努力全都变成水中月踩一脚就碎个彻底 ?
衍小懒,桐桐可以吃母乳吃到饱//@回忆专用小马甲:想要快乐? ? //@花泽美美:好好赚钱！别想有的没的? //@M大王叫我来巡山:想要的都拥有，得不到的都释怀//@苍南派:快乐工作快乐生活//@雨玲玲zjl:愿自己的努力不负自己的期望//@ali_thin:求你减肥//@Tiger公子:别再生病了
眼镜怎么就坏了呢,在撑了大概两个星期之后，我不得不承认，网剧橘生淮南真的……令人失望看到剧版暗恋的导演是东宫的导演看过东宫的我表示真的有危机感我真的是想站网剧的，可现在我都看不下去了 ?
眼镜怎么就坏了呢,在撑了大概两个星期之后，我不得不承认，网剧橘生淮南真的……令人失望看到剧版暗恋的导演是东宫的导演看过东宫的我表示真的有危机感我真的是想站网剧的，可现在我都看不下去了 ?
阳光小甜萱,有点撑不下去了，很难过，很担忧，怎么办，周二周三怎么办 ?
杨漂漂TT,我承认我过得一点也不好很多时候真的都要熬不下去 快要崩溃了我不知道哪儿有这么多压力改变的失去的都太多了好多事情真的接受不了 但我也无力抗拒只能哭完了再爬起来老老实实继续走下去这辈子从来就没坚强过大小坎都是死撑过去 ??? 2兰州 ?
杨漂漂TT,我承认我过得一点也不好很多时候真的都要熬不下去 快要崩溃了我不知道哪儿有这么多压力改变的失去的都太多了好多事情真的接受不了 但我也无力抗拒只能哭完了再爬起来老老实实继续走下去这辈子从来就没坚强过大小坎都是死撑过去 ??? 2兰州 ?
杨小轩6047275680,@持家老铁  唉，生活压力好大，手机用了7年了唉? 我感觉我快撑不下去了
杨小轩6047275680,@持家老铁  唉，生活压力好大，手机用了7年了唉? 我感觉我快撑不下去了
杨小扬儿,第一天 熬到现在发现真的有点撑不下去了呀 ?
杨小扬儿,第一天 熬到现在发现真的有点撑不下去了呀 ?
杨洋的小陌冉,#七月##hello七月##七月你好# 七月，你好毕业季，你好杨洋 #杨洋# 愿我的大男孩天天快乐，每天都爱笑??也请这个世界对他温柔点@杨洋 ?
杨媛显今天炸不炸,7月了我真撑不下去了我想回家了 ?
養貓記事簿,有时候会想着 其实 这样也可以了吧 哪怕没有那么 广义上的 所谓的 那个什么 你快乐就好了吧但是这样你怎么会快乐 我知道的 其实你想要的还有更多 你都会有的 宝贝 一切美好都是你的 你要坚持 已经这么久了 一定别放弃 ?
妖精_Kay,#我是妖精_Kay# 我和K先生还是走过很长的路吧…反正这些伴随了我很久的东西，因为可以从K先生身上汲取力量就没再怎么用过…最近撑不住一个个点开，一个个已经维护运行不下去了…只能见到过往那个脆弱的我，再也容不下如今这个脆弱的我了…看这些暖心的APP做不下去真的非常惋惜 ?
窑皖熙,每天都要有一颗开心快乐的心情?  ?
瑶见夕雪Mini,生日快乐！！！
杳鸢柒,许在生日月的愿望? 我希望可以快乐一点感动一点惊喜一点拥有一点至少要比现在的都好拜托啦二十岁的神 ?
药川,106抽无事发生，本该是快乐的抽卡，为什么 ?
要每天开心的炸鸡柳,承诺永远做不到，真的撑不下去了 ?
要每天开心的炸鸡柳,承诺永远做不到，真的撑不下去了 ?
要你向我飛奔而來,我又拒绝了别人 我跟别人在一起就算是因为喜欢也绝对撑不过半个月 这已经成定律了 我心里有你怎么可能跟别人长久走下去啊 我已经习惯这样了。那就一直这样吧 ?
要你向我飛奔而來,我又拒绝了别人 我跟别人在一起就算是因为喜欢也绝对撑不过半个月 这已经成定律了 我心里有你怎么可能跟别人长久走下去啊 我已经习惯这样了。那就一直这样吧 ?
要努力考上研究僧的禾,??回归??彻底和大三说再见了吧 经历了一个月的期末复习 考试周 课设周 熬了两个星期 通了两次宵 算是过来了??通了一夜直接去验收课设 然后就给自己放了几天假 一个学期没有完完整整的放过假了 其实我知道不应该的但我真的撑不下去了 那一个月真的我各种折磨…放假好快落！但现在要开始好 ?  展开全文c
要努力考上研究僧的禾,??回归??彻底和大三说再见了吧 经历了一个月的期末复习 考试周 课设周 熬了两个星期 通了两次宵 算是过来了??通了一夜直接去验收课设 然后就给自己放了几天假 一个学期没有完完整整的放过假了 其实我知道不应该的但我真的撑不下去了 那一个月真的我各种折磨…放假好快落！但现在要开始好 ?  展开全文c
耶加唯菲儿,大概很多时候撑不下去的时候，心里的是恨吧。 2南京 ?
椰律宝丽珠,快乐真的很难的，有一个阈值在的。就真的要好好对待此时此刻的快乐这样。 ?
也就那回事2008_554,朱一龙#朱一龙0416生日快乐# #朱一龙吴邪# 我也很荣幸陪你走过这一段路。“她们很为我着想”这句话我能记上十年呢！ L吴邪的小泥巴_桃桃的微博视频 ?
也没有很慌,#有感而发《shang瘾》看的好尬 演员尬剧情尬台词尬 我以为看到后面会好的 but看了两集就撑不下去了...wyb好绝一男的（暴风流泪） ?
也没有很慌,#有感而发《上瘾》看的好尬 演员尬剧情尬台词尬 我以为看到后面会好的 but看了两集就撑不下去了...wyb好绝一男的（暴风流泪） ?
野鹿林兔,终于熬过了基本每天抑郁崩溃的六月，过去的都过去了。迎来了2019下半年的第一天。否极泰来。宠爱自己，精致生活从今天做起。我们有责任让自己持续沙雕快乐每一天～ ?
叶无桑,转发微博
叶幸运和叶小宝的故事,其实，换个乐器没有那么多事，接下来还有那么多集，想想片头片尾曲场景，撑下去。现在说不看的，到时又真香。总之，他俩? 锁住，毕竟其他演员也是拍得很辛苦。
叶幸运和叶小宝的故事,其实，换个乐器没有那么多事，接下来还有那么多集，想想片头片尾曲场景，撑下去。现在说不看的，到时又真香。总之，他俩? 锁住，毕竟其他演员也是拍得很辛苦。
叶幸运和叶小宝的故事,其实，换个乐器没有那么多事，接下来还有那么多集，想想片头片尾曲场景，撑下去。现在说不看的，到时又真香。总之，他俩? 锁住，毕竟其他演员也是拍得很辛苦。
夜色酒庄,她因为被诊断出患了癌症，到医院天台上要自杀。他一直劝着她。她哭着对他说:医生都说康复的几率微乎其微了，我不想将来病重的时候受苦，我没有亲人，我撑不下去。“你还有我呢！我爱你，我就不会放弃你！”O网页链接 ?
一辈子囿祢,本来想买现成的离型纸本，被小伙伴说要自己做。快乐。手帐##给你看看我的书桌吧# ?
一朝一暮是茶欢,2019年过去了一半，上半年也就这样结束了，时间过得很快，跟小卢同学快认识半年了。其实有时候觉得已经认识很久了，有时候又觉得其实也没多久，这期间发生过大大小小的很多事情，也吵吵闹闹很多次，甚至有时候觉得实在过不下去了，可是才过几个小时就想她想到不行，一晚上都撑不过去，她脾气很爆，我也 ?  展开全文c
一朝一暮是茶欢,2019年过去了一半，上半年也就这样结束了，时间过得很快，跟小卢同学快认识半年了。其实有时候觉得已经认识很久了，有时候又觉得其实也没多久，这期间发生过大大小小的很多事情，也吵吵闹闹很多次，甚至有时候觉得实在过不下去了，可是才过几个小时就想她想到不行，一晚上都撑不过去，她脾气很爆，我也 ?  展开全文c
一点自闭,原创剧情撑不起这个剧，给配角加了怎么多戏，看下去全靠忘羡 2厦门·厦门北站 ?
一点自闭,原创剧情撑不起这个剧，给配角加了怎么多戏，看下去全靠忘羡 2厦门·厦门北站 ?
一个非常隐秘的大号,撑不下去的时候请你回头看看你的父母请你相信他们很爱你请你一定要撑住请你一定要开心请你一定要开心 ?
一个非常隐秘的大号,撑不下去的时候请你回头看看你的父母请你相信他们很爱你请你一定要撑住请你一定要开心请你一定要开心 ?
一个很丧丧丧的女子,7? ?希望想要的如期而至 希望快乐希望身边的人都健康 还有我的金元宝贝希望万事胜意?? ?
一个身体只能有一个灵魂,我也不知道我还能熬多久，不知道能不能撑下去？ ?
一盒小崽,特哥生日快乐
一九sui,我一定要撑下去，撑到七月四号十点回到宿舍，我一定要睡一下午，好累啊，好怕现在脑子不转了， ?
一九sui,我一定要撑下去，撑到七月四号十点回到宿舍，我一定要睡一下午，好累啊，好怕现在脑子不转了， ?
一颗biubiu橙,好好吃饭好好睡觉好好学习一直开心//@回忆专用小马甲:想要快乐? ? //@花泽美美:好好赚钱！别想有的没的? //@M大王叫我来巡山:想要的都拥有，得不到的都释怀//@苍南派:快乐工作快乐生活//@雨玲玲zjl:愿自己的努力不负自己的期望//@ali_thin:求你减肥//@Tiger公子:别再生病了
一颗特立独行的生菜,生日快乐
一粒牛奶_,七月份的一粒還要繼續快樂[太陽] ?
一林Fan,电视剧陈情令这里魔道淑芬，死忠粉，当初知道是肖战王一博演剧版时为了能看下去还专门去看他们帅帅的视频，看了肖战剧照还是可以接受的，就是wyb感觉气场撑不起来，就去找他的一些跳舞视频，小哥哥跳舞真的帅死（剧里其实越往后看越可以），之后出了mzy一事后真的气死，但还是会想去看，我觉得 ?  展开全文c
一林Fan,电视剧陈情令这里魔道淑芬，死忠粉，当初知道是肖战王一博演剧版时为了能看下去还专门去看他们帅帅的视频，看了肖战剧照还是可以接受的，就是wyb感觉气场撑不起来，就去找他的一些跳舞视频，小哥哥跳舞真的帅死（剧里其实越往后看越可以），之后出了mzy一事后真的气死，但还是会想去看，我觉得 ?  展开全文c
一派秋声_,惹，不知不觉半年过去了我好像还是啥都没做五月开始追星搞创，真滴很快乐了再有一周就放假了，回家前第一次去博物馆值班，有点紧张因为讲解词忘得差不多了去一趟北京，去一趟上海，不知道有没有时间去江西（也可能因为没? ）真好呀 ?
一切都要顺利的,2018-04-16 17:45:16  这个城市真实处处都让人想逃离。校园广播在播新闻，螃蟹在剥我的壳。我快要觉得自己撑不下去了。站在楼梯上被人推下来，走在路上被别人从背后捅一刀，掉进深水里的濒死感窒息感无时无刻不在侵袭，快要抵抗不住了。你安慰自己，所有的不公与挫折都是对你的考验，等他们都过去，一 ?  展开全文c
一人旅Q,喜欢一个人喜欢到不快乐又是何必？ ?
一霎灯前醉,太难看了太难看了靠着帅哥的颜值我都快撑不下去了 ?
一霎灯前醉,太难看了太难看了靠着帅哥的颜值我都快撑不下去了 ?
一万颗屁桃,祝妹妹我七月快乐 ?
一只花豹meow,做人要像狗狗学习。快乐很简单，开心就表达，不开心就汪汪表明愤怒，发火之前先低吼警告，看到喜欢的人就表现出来蹭蹭蹭，吃饱肚子，每天运动运动......
一只可爱粽,2019上半年过完了喔七月快乐 ?
一只萌omen,非常珍惜现在拥有的快乐和生活，来之不易，永远感恩 ?
